gender,entity_level,stat,stat_id,minimum_criteria,player_name,team,position,matches_played,value,rank
Women,player,Most Tackles,3,Minimum 1 Tackle in a match,Kalyani Patil,Kolkata Banga Tigers,Wing,1,2,18
Women,player,Most Tackles,3,Minimum 1 Tackle in a match,Bhumika Shukla,Mumbai Dreamers,Centre,1,2,19
Women,player,Most Tackles,3,Minimum 1 Tackle in a match,Lavena Cavuru,Delhi Redz,Back,1,1,20
Women,player,Most Tackles,3,Minimum 1 Tackle in a match,Saloni Kumari,Delhi Redz,Centre,1,1,21
Women,player,Most Tackles,3,Minimum 1 Tackle in a match,Rima Oraon,Delhi Redz,Flyhalf,1,1,22
Women,player,Most Tackles,3,Minimum 1 Tackle in a match,Grace Okulu,Mumbai Dreamers,Back,1,1,23
Women,player,Most Tackles,3,Minimum 1 Tackle in a match,Arti Kumari,Mumbai Dreamers,Wing,1,1,24
Women,player,Most Tackles,3,Minimum 1 Tackle in a match,Camilla Carvalho,Delhi Redz,Forward,1,1,25
Women,player,Most Tackles,3,Minimum 1 Tackle in a match,Isadora Lopes,Delhi Redz,Back,1,1,26
Women,player,Most Tackles,3,Minimum 1 Tackle in a match,Vaishnavi Patil,Delhi Redz,Prop,1,1,27
Women,player,Most Tackles,3,Minimum 1 Tackle in a match,Ujjwala Ghuge,Kolkata Banga Tigers,Forward,1,1,28
Women,player,Most Tackles,3,Minimum 1 Tackle in a match,Abril Ruiz,Mumbai Dreamers,Back,1,1,29
Women,player,Most Tackles,3,Minimum 1 Tackle in a match,Adia Pye,Chennai Bulls,Back,1,1,30
Women,player,Most Tackles,3,Minimum 1 Tackle in a match,Priyanka R,Chennai Bulls,Fly Half,1,1,31
Women,player,Most Tackles,3,Minimum 1 Tackle in a match,Patience Mokane,Mumbai Dreamers,Back,1,1,32
Women,player,Most Tries,1,Minimum 1 try in a match,Nia Imani Toliver,Kolkata Banga Tigers,Back,1,3,1
Women,player,Most Tries,1,Minimum 1 try in a match,Sofia Gonzalez,Kolkata Banga Tigers,Back,1,2,2
Women,player,Most Tries,1,Minimum 1 try in a match,Savannah Bauder,Chennai Bulls,Fly Half,1,2,3
Women,player,Most Tries,1,Minimum 1 try in a match,Lavena Cavuru,Delhi Redz,Back,1,1,4
Women,player,Most Tries,1,Minimum 1 try in a match,Amandeep Kaur,Chennai Bulls,Prop,1,1,5
Women,player,Most Tries,1,Minimum 1 try in a match,Zintle Mpupha,Delhi Redz,Back,1,1,6
Women,player,Most Tries,1,Minimum 1 try in a match,Rima Oraon,Delhi Redz,Flyhalf,1,1,7
Women,player,Most Tries,1,Minimum 1 try in a match,Grace Okulu,Mumbai Dreamers,Back,1,1,8
Women,player,Most Tries,1,Minimum 1 try in a match,Isadora Lopes,Delhi Redz,Back,1,1,9
Women,player,Most Tries,1,Minimum 1 try in a match,Yasmim Soares,Mumbai Dreamers,Back,1,1,10
Women,player,Most Tries,1,Minimum 1 try in a match,Bhumika Shukla,Mumbai Dreamers,Centre,1,1,11
Women,player,Most Tries,1,Minimum 1 try in a match,Adia Pye,Chennai Bulls,Back,1,1,12
Women,team,Most Assists,9,Minimum 1 Assist in a match,,Kolkata Banga Tigers,,1,2,1
Women,team,Most Assists,9,Minimum 1 Assist in a match,,Delhi Redz,,1,2,2
Women,team,Most Assists,9,Minimum 1 Assist in a match,,Chennai Bulls,,1,1,3
Women,team,Most Assists,9,Minimum 1 Assist in a match,,Mumbai Dreamers,,1,1,4
Women,team,Most Conversions,2,Minimum 1 Conversion in a match,,Kolkata Banga Tigers,,1,3,1
Women,team,Most Conversions,2,Minimum 1 Conversion in a match,,Chennai Bulls,,1,2,2
Women,team,Most Conversions,2,Minimum 1 Conversion in a match,,Delhi Redz,,1,2,3
Women,team,Most Conversions,2,Minimum 1 Conversion in a match,,Mumbai Dreamers,,1,2,4
Women,team,Most Offloads,7,Minimum 1 Offload in a match,,Delhi Redz,,1,10,1
