gender,entity_level,stat,stat_id,minimum_criteria,player_name,team,position,matches_played,value,rank
Men,player,Most Tackles,3,Minimum 1 Tackle in a match,James Turner,Mumbai Dreamers,Back,1,1,36
Men,player,Most Tackles,3,Minimum 1 Tackle in a match,Ryan Apps,Bengaluru Bravehearts,Back,1,1,37
Men,player,Most Tackles,3,Minimum 1 Tackle in a match,Nygel Pettersan Amaitsa,Delhi Redz,Back,1,1,38
Men,player,Most Tackles,3,Minimum 1 Tackle in a match,Arpan Chhetri,Bengaluru Bravehearts,Forward,1,1,39
Men,player,Most Tackles,3,Minimum 1 Tackle in a match,Prashant Singh,Kolkata Banga Tigers,Hybrid,1,1,40
Men,player,Most Tackles,3,Minimum 1 Tackle in a match,Michael Coverdale,Bengaluru Bravehearts,Forward,1,1,41
Men,player,Most Tackles,3,Minimum 1 Tackle in a match,Deepak Punia,Delhi Redz,Back,1,1,42
Men,player,Most Tackles,3,Minimum 1 Tackle in a match,Elias Hancock,Delhi Redz,Forward,1,1,43
Men,player,Most Tackles,3,Minimum 1 Tackle in a match,Neeraj Khatri,Mumbai Dreamers,Forward,1,1,44
Men,player,Most Tackles,3,Minimum 1 Tackle in a match,Tusitafu Toilolo,Chennai Bulls,Back,1,1,45
Men,player,Most Tackles,3,Minimum 1 Tackle in a match,Lennox Wiese,Delhi Redz,Forward,1,1,46
Men,player,Most Tackles,3,Minimum 1 Tackle in a match,Hitesh Dagar,Delhi Redz,Forward,1,1,47
Men,player,Most Tackles,3,Minimum 1 Tackle in a match,Thibaud Mazzoleni,Kolkata Banga Tigers,Forward,1,1,48
Men,player,Most Tackles,3,Minimum 1 Tackle in a match,Shotaro Tsuoka,Kolkata Banga Tigers,Back,1,1,49
Men,player,Most Tackles,3,Minimum 1 Tackle in a match,Niue Owen,Kolkata Banga Tigers,Back,1,1,50
Men,player,Most Tackles,3,Minimum 1 Tackle in a match,Rajan Rawat,Hyderabad Heroes,Fly Half,1,1,51
Men,player,Most Tackles,3,Minimum 1 Tackle in a match,Vikas Khatri,Mumbai Dreamers,Prop,1,1,52
Men,player,Most Tackles,3,Minimum 1 Tackle in a match,Ngarohi Mcgarvey,Bengaluru Bravehearts,Back,1,1,53
Men,player,Most Tackles,3,Minimum 1 Tackle in a match,Marika Koroibete,Chennai Bulls,Back,1,1,54
Men,player,Most Tackles,3,Minimum 1 Tackle in a match,Alasio Naduva,Delhi Redz,Back,1,1,55
Men,player,Most Tackles,3,Minimum 1 Tackle in a match,Taitaifono Senio Tavita,Hyderabad Heroes,Scrum Half,1,1,56
Men,player,Most Tries,1,Minimum 1 try in a match,Samuel Asati,Delhi Redz,Back,1,2,1
Men,player,Most Tries,1,Minimum 1 try in a match,Josep Serres,Delhi Redz,Right Wing,1,1,2
Men,player,Most Tries,1,Minimum 1 try in a match,Vuiviwa Naduvalo,Kolkata Banga Tigers,Back,1,1,3
Men,player,Most Tries,1,Minimum 1 try in a match,Filipe Sauturaga,Chennai Bulls,Back,1,1,4
Men,player,Most Tries,1,Minimum 1 try in a match,Regan Ware,Hyderabad Heroes,Hybrid,1,1,5
Men,player,Most Tries,1,Minimum 1 try in a match,Brady Rush,Kolkata Banga Tigers,Back,1,1,6
Men,player,Most Tries,1,Minimum 1 try in a match,Henry Hutchison,Bengaluru Bravehearts,Hybrid,1,1,7
Men,player,Most Tries,1,Minimum 1 try in a match,James Turner,Mumbai Dreamers,Back,1,1,8
Men,player,Most Tries,1,Minimum 1 try in a match,Ryan Apps,Bengaluru Bravehearts,Back,1,1,9
Men,player,Most Tries,1,Minimum 1 try in a match,Diego Ardao,Hyderabad Heroes,Forward,1,1,10
Men,player,Most Tries,1,Minimum 1 try in a match,Manuel Moreno,Hyderabad Heroes,Forward,1,1,11
Men,player,Most Tries,1,Minimum 1 try in a match,Prince Khatri,Mumbai Dreamers,Back,1,1,12
Men,player,Most Tries,1,Minimum 1 try in a match,Devendra Padir,Bengaluru Bravehearts,Forward,1,1,13
